absolute_path,relative_path,data_type,n_detections,project,deployment,file_height,file_width,max_confidence,human_verified,DateTimeOriginal,DateTime,DateTimeDigitized,Latitude,Longitude,GPSLink,Altitude,Make,Model,Flash,ExifOffset,ResolutionUnit,YCbCrPositioning,XResolution,YResolution,ExifVersion,ComponentsConfiguration,FlashPixVersion,ColorSpace,ExifImageWidth,ISOSpeedRatings,ExifImageHeight,ExposureMode,WhiteBalance,SceneCaptureType,ExposureTime,Software,Sharpness,Saturation,ReferenceBlackWhite
/Users/peter/Downloads/namibia-example-images,12.JPG,img,9,test_project,deploy_001,2304,3072,0.99998,FALSE,13/05/2012 02:35,13/05/2012 02:35,13/05/2012 02:35,-19.52888889,15.989999999999998,"https://maps.google.com/?q=-19.528888888888886,15.989999999999998",NA,WVL,Dig.Cam,7,215,2,2,72,72,b'0220',b'\x01\x02\x03\x00',b'0100',1,3264,100,2448,0,1,0,0.033333333,V097A05133,0,0,NA
/Users/peter/Downloads/namibia-example-images,13.JPG,img,1,test_project,deploy_001,1944,2592,1,FALSE,01/02/2012 02:40,01/02/2012 02:40,01/02/2012 02:40,-20.3625,16.759444444444444,"https://maps.google.com/?q=-20.3625,16.759444444444444",NA,,,0,267,2,2,96,96,b'0210',b'\x01\x02\x03\x00',b'0100',1,2592,100,1944,NA,NA,NA,0,BS680BWNx0202,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,14.JPG,img,10,test_project,deploy_002,2304,3072,0.99998,FALSE,24/11/2015 13:17,24/11/2015 13:17,24/11/2015 13:17,-19.8125,14.696944444444444,"https://maps.google.com/?q=-19.8125,14.696944444444444",NA,Leupold,RCX-1,0,267,2,2,96,96,b'0220',b'\x01\x02\x03\x00',b'0100',1,3264,50,2448,0,0,NA,0.000223015,3.e.b.c,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,15.JPG,img,5,test_project,deploy_002,2304,3072,1,FALSE,31/10/2008 22:47,31/10/2008 22:47,31/10/2008 22:47,-20.47027778,14.951666666666666,"https://maps.google.com/?q=-20.470277777777778,14.951666666666666",NA,G4       ,CUDDEBACK,NA,178,2,2,72,72,b'0200',b'\x01\x02\x03\x00',b'0100',1,1280,NA,1024,NA,NA,NA,NA,NA,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,16.JPG,img,3,test_project,deploy_002,2448,3264,0.904,FALSE,13/09/2015 13:35,13/09/2015 13:35,13/09/2015 13:35,-19.28027778,16.427222222222223,"https://maps.google.com/?q=-19.280277777777776,16.427222222222223",NA,,,0,272,2,2,96,96,b'0210',b'\x01\x02\x03\x00',b'0100',1,3264,100,2448,NA,NA,NA,0,BS680BWNx0202,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,17.JPG,img,1,test_project,deploy_002,1944,2592,1,FALSE,11/07/2012 01:02,11/07/2012 01:02,11/07/2012 01:02,-20.345,15.370555555555557,"https://maps.google.com/?q=-20.345,15.370555555555557",NA,,,0,268,2,2,96,96,b'0210',b'\x01\x02\x03\x00',b'0100',1,2592,100,1944,NA,NA,NA,0,BS680BWNx0202,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,18.JPG,img,2,test_project,deploy_002,1024,1280,1,FALSE,31/10/2008 22:49,31/10/2008 22:49,31/10/2008 22:49,-20.65527778,15.981944444444444,"https://maps.google.com/?q=-20.655277777777776,15.981944444444444",NA,G4       ,CUDDEBACK,NA,178,2,2,72,72,b'0200',b'\x01\x02\x03\x00',b'0100',1,1280,NA,1024,NA,NA,NA,NA,NA,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,19.JPG,img,1,test_project,deploy_002,1944,2592,1,FALSE,12/07/2012 10:49,12/07/2012 10:49,12/07/2012 10:49,-19.49,15.346388888888889,"https://maps.google.com/?q=-19.490000000000002,15.346388888888889",NA,,,0,272,2,2,96,96,b'0210',b'\x01\x02\x03\x00',b'0100',1,2592,100,1944,NA,NA,NA,0,BS680BWNx0202,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,20.JPG,img,7,test_project,deploy_002,2448,3264,1,FALSE,24/11/2015 13:17,24/11/2015 13:17,24/11/2015 13:17,-20.19888889,14.145277777777777,"https://maps.google.com/?q=-20.198888888888888,14.145277777777777",NA,Leupold,RCX-1,0,267,2,2,96,96,b'0220',b'\x01\x02\x03\x00',b'0100',1,3264,50,2448,0,0,NA,0.000223015,3.e.b.c,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,21.JPG,img,1,test_project,deploy_002,1944,2592,1,FALSE,11/07/2012 01:02,11/07/2012 01:02,11/07/2012 01:02,-20.04333333,14.496388888888887,"https://maps.google.com/?q=-20.043333333333337,14.496388888888887",NA,,,0,268,2,2,96,96,b'0210',b'\x01\x02\x03\x00',b'0100',1,2592,100,1944,NA,NA,NA,0,BS680BWNx0202,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,22.JPG,img,3,test_project,deploy_002,1944,2592,1,FALSE,20/03/2013 17:15,20/03/2013 17:15,20/03/2013 17:15,-20.74916667,15.092777777777778,"https://maps.google.com/?q=-20.749166666666667,15.092777777777778",NA,,,0,272,2,2,96,96,b'0210',b'\x01\x02\x03\x00',b'0100',1,2592,100,1944,NA,NA,NA,0,BS680BWNx0202,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,23.JPG,img,1,test_project,deploy_002,1024,1280,1,FALSE,31/10/2008 22:47,31/10/2008 22:47,31/10/2008 22:47,-20.2575,15.377500000000001,"https://maps.google.com/?q=-20.2575,15.377500000000001",NA,G4       ,CUDDEBACK,NA,178,2,2,72,72,b'0200',b'\x01\x02\x03\x00',b'0100',1,1280,NA,1024,NA,NA,NA,NA,NA,NA,NA,NA
/Users/peter/Downloads/namibia-example-images,24.JPG,img,2,test_project,deploy_002,2448,3264,1,FALSE,13/05/2012 02:35,13/05/2012 02:35,13/05/2012 02:35,-19.84055556,16.144166666666667,"https://maps.google.com/?q=-19.840555555555554,16.144166666666667",NA,WVL,Dig.Cam,7,215,2,2,72,72,b'0220',b'\x01\x02\x03\x00',b'0100',1,3264,100,2448,0,1,0,0.033333333,V097A05133,0,0,NA
/Users/peter/Downloads/namibia-example-images,25.JPG,img,3,test_project,deploy_002,2448,3264,1,FALSE,23/07/2013 12:35,23/07/2013 12:35,23/07/2013 12:35,-20.13777778,14.235833333333332,"https://maps.google.com/?q=-20.137777777777778,14.235833333333332",NA,,,0,272,2,2,96,96,b'0210',b'\x01\x02\x03\x00',b'0100',1,3264,100,2448,NA,NA,NA,0,4680BW0Lx0200,NA,NA,NA
